keys,fr,en
discard.banner,"Main trop pleine : défaussez %d carte(s)","Hand too full: discard %d card(s)"
discard.hint,"Cliquez sur les cartes à défausser (15 secondes, sinon défausse aléatoire)","Click the cards to discard (15 seconds, otherwise a random discard)"
mulligan.start_button,"Commencer","Start"
KW_TAUNT_NAME,"Rempart","Taunt"
KW_CHARGE_NAME,"Assaut","Charge"
KW_AEGIS_NAME,"Égide","Aegis"
KW_LIFESTEAL_NAME,"Moisson","Harvest"
KW_FURY_NAME,"Frénésie","Fury"
KW_DEADLY_POISON_NAME,"Venin mortel","Deadly Poison"
KW_RAVAGE_NAME,"Ravage","Ravage"
KW_BLACK_WINGS_NAME,"Infiltration","Infiltration"
KW_TAUNT_DESC,"Doit être attaqué en priorité par les serviteurs ennemis.","Must be attacked first by enemy minions."
KW_AEGIS_DESC,"Absorbe la prochaine source de dégâts. Le bouclier disparaît ensuite.","Absorbs the next source of damage, then the shield is gone."
KW_CHARGE_DESC,"Peut attaquer dès le tour où elle est invoquée.","Can attack the turn it is summoned."
KW_LIFESTEAL_DESC,"Les dégâts infligés soignent votre héros d'autant.","Damage dealt heals your hero for the same amount."
KW_FURY_DESC,"Peut attaquer deux fois par tour.","Can attack twice per turn."
KW_DEADLY_POISON_DESC,"Toute blessure infligée par ce serviteur détruit la cible, quelle que soit sa vie restante.","Any damage dealt by this minion destroys the target, regardless of remaining health."
KW_RAVAGE_DESC,"Les dégâts excédentaires sont infligés directement au héros adverse.","Excess damage is dealt directly to the enemy hero."
KW_BLACK_WINGS_DESC,"Ignore la rangée Avant ennemie ; peut cibler directement la rangée Arrière ou le héros.","Ignores the enemy Front row; can target the Back row or the hero directly."
KW_DISCIPLINE_NAME,"Discipline","Discipline"
KW_FORMATION_NAME,"Formation","Formation"
KW_CONTRE_ATTAQUE_NAME,"Contre-attaque","Counterattack"
KW_COMMANDEMENT_NAME,"Commandement","Command"
KW_FORTIFICATION_NAME,"Fortification","Fortification"
KW_DISCIPLINE_DESC,"Immunisé aux effets de silence, contrôle mental et peur ennemis.","Immune to enemy silence, mind control and fear effects."
KW_FORMATION_DESC,"Tant qu'un serviteur allié est adjacent, ce serviteur gagne +1/+1.","While an allied minion is adjacent, this minion gains +1/+1."
KW_CONTRE_ATTAQUE_DESC,"Blessure : si ce serviteur survit, inflige son ATK en retour à l'attaquant.","When damaged: if this minion survives, it deals its ATK back to the attacker."
KW_COMMANDEMENT_DESC,"Les serviteurs Humains alliés invoqués après lui gagnent +1/+0 de façon permanente.","Allied Human minions summoned after it permanently gain +1/+0."
KW_FORTIFICATION_DESC,"Ne peut pas être déplacé, renvoyé en main ou transformé par des effets ennemis.","Cannot be moved, returned to hand or transformed by enemy effects."
KW_PESTIFERE_NAME,"Pestiféré","Plaguebearer"
KW_NECROPHAGE_NAME,"Nécrophage","Necrophage"
KW_HORDE_NAME,"Horde","Horde"
KW_REVENANT_NAME,"Revenant","Revenant"
KW_CHAIR_MORTE_NAME,"Chair morte","Dead Flesh"
KW_PESTIFERE_DESC,"Les attaques de ce serviteur infligent Infection en plus des dégâts.","This minion's attacks inflict Infection in addition to damage."
KW_NECROPHAGE_DESC,"Quand un serviteur allié meurt, ce serviteur gagne +1/+1 de façon permanente.","When an allied minion dies, this minion permanently gains +1/+1."
KW_HORDE_DESC,"Tant que tu contrôles 3 Morts-Vivants ou plus, ce serviteur gagne +1/+0.","While you control 3 or more Undead, this minion gains +1/+0."
KW_REVENANT_DESC,"La première fois que ce serviteur devrait mourir, il se relève avec 1 HP à la place (une seule fois par partie).","The first time this minion would die, it rises again with 1 HP instead (once per game)."
KW_CHAIR_MORTE_DESC,"Immunisé à l'Infection, au poison et aux effets de peur.","Immune to Infection, poison and fear effects."
KW_PACTE_NAME,"Pacte","Pact"
KW_CORRUPTION_NAME,"Corruption","Corruption"
KW_TERREUR_NAME,"Terreur","Terror"
KW_RANG_INFERNAL_NAME,"Rang infernal","Infernal Rank"
KW_CHAIR_DE_SOUFRE_NAME,"Chair de soufre","Sulfur Flesh"
KW_SANG_NOIR_NAME,"Sang noir","Black Blood"
KW_PACTE_DESC,"Pacte X : vous pouvez payer X points de vie lors du déclenchement de l'effet pour l'améliorer. Redemandé à chaque déclenchement.","Pact X: you may pay X HP when the effect triggers to improve it. Asked again on every trigger."
KW_CORRUPTION_DESC,"Les attaques de ce serviteur infligent Corruption en plus des dégâts (la cible perd 1 ATK de façon permanente, cumulable).","This minion's attacks inflict Corruption in addition to damage (the target permanently loses 1 ATK, stackable)."
KW_TERREUR_DESC,"Quand ce serviteur attaque, la cible ne peut pas attaquer lors du prochain tour adverse.","When this minion attacks, the target cannot attack during the next enemy turn."
KW_RANG_INFERNAL_DESC,"Ce serviteur gagne +1/+0 pour chaque tranche de 10 points de vie manquants sur votre héros.","This minion gains +1/+0 for every 10 HP missing from your hero."
KW_CHAIR_DE_SOUFRE_DESC,"Immunisé à Corruption, à la peur et aux effets de contrôle mental.","Immune to Corruption, fear and mind control effects."
KW_SANG_NOIR_DESC,"Chaque fois que votre héros perd des points de vie à cause d'une de vos propres cartes, ce serviteur gagne +1/+0 de façon permanente.","Whenever your hero loses HP because of one of your own cards, this minion permanently gains +1/+0."
KW_MUTATION_NAME,"Mutation","Mutation"
KW_FUSION_NAME,"Fusion","Fusion"
KW_VIRULENT_NAME,"Virulent","Virulent"
KW_CHAIR_ADAPTATIVE_NAME,"Chair adaptative","Adaptive Flesh"
KW_ASSIMILATION_NAME,"Assimilation","Assimilation"
KW_INSTABLE_NAME,"Instable","Unstable"
KW_MUTATION_DESC,"Ce serviteur mute chaque fois qu'il survit à une blessure. Effets permanents et cumulables.\n\nTable de Mutation :\n40% Croissance : +2 ATQ\n40% Renforcement : +2 PV\n20% Dégénérescence : -1 ATQ / -1 PV","This minion mutates each time it survives damage. Effects are permanent and stackable.\n\nMutation Table:\n40% Growth: +2 ATK\n40% Reinforcement: +2 HP\n20% Degeneration: -1 ATK / -1 HP"
KW_FUSION_DESC,"Sacrifice un serviteur allié adjacent : ce serviteur absorbe ses stats restantes ET un de ses mots-clés au choix, de façon permanente.","Sacrifice an adjacent allied minion: this minion permanently absorbs its remaining stats AND one of its keywords of your choice."
KW_VIRULENT_DESC,"Dernier Souffle : le serviteur allié adjacent déclenche immédiatement une mutation.","Deathrattle: the adjacent allied minion immediately triggers a mutation."
KW_CHAIR_ADAPTATIVE_DESC,"Arrivée : copie un mot-clé au choix présent sur un serviteur en jeu (allié ou ennemi), de façon permanente.","Arrival: permanently copies a keyword of your choice from a minion in play (allied or enemy)."
KW_ASSIMILATION_DESC,"Dévoration : ce serviteur peut absorber les restes pour gagner +1/+1 jusqu'au début du prochain tour (une fois par mort).","Devour: this minion can absorb the remains to gain +1/+1 until the start of the next turn (once per death)."
KW_INSTABLE_DESC,"Ce serviteur ne peut pas être ciblé par des effets de soin, alliés ou ennemis, sa chair est trop erratique pour être stabilisée.","This minion cannot be targeted by healing effects, allied or enemy, its flesh is too erratic to stabilize."
FUSION_CHOOSE_KEYWORD,"Choisir le mot-clé absorbé","Choose the keyword to absorb"
TRIG_ONPLAY_NAME,"Arrivée","Arrival"
TRIG_ONPLAY_DESC,"Déclenché lorsque ce serviteur arrive sur le champ de bataille.","Triggers when this minion arrives on the battlefield."
TRIG_DEATHRATTLE_NAME,"Dernier souffle","Deathrattle"
TRIG_DEATHRATTLE_DESC,"Déclenché quand ce serviteur meurt.","Triggers when this minion dies."
TRIG_CHARGE_NAME,"Assaut","Charge"
TRIG_CHARGE_DESC,"Peut attaquer dès le tour où elle est invoquée.","Can attack the turn it is summoned."
TRIG_ONDAMAGED_NAME,"Blessure","Wounded"
TRIG_ONDAMAGED_DESC,"Déclenché quand ce serviteur reçoit des dégâts.","Triggers when this minion takes damage."
TRIG_ONAWAKEN_NAME,"Éveil","Awakening"
TRIG_ONAWAKEN_DESC,"Déclenché au début de votre tour.","Triggers at the start of your turn."
TRIG_ONDECLINE_NAME,"Déclin","Decline"
TRIG_ONDECLINE_DESC,"Déclenché au début du tour ennemi.","Triggers at the start of the enemy turn."
TRIG_ONGRIEF_NAME,"Deuil","Mourning"
TRIG_ONGRIEF_DESC,"Déclenché quand un serviteur allié meurt.","Triggers when an allied minion dies."
TRIG_ONSPELL_NAME,"Sortilège","Spell"
TRIG_ONSPELL_DESC,"Déclenché quand l'adversaire joue un sort.","Triggers when the opponent casts a spell."
TRIG_ONSACRIFICE_NAME,"Sacrifice","Sacrifice"
TRIG_ONSACRIFICE_DESC,"Sacrifie un ou plusieurs serviteurs en coût supplémentaire.","Sacrifice one or more minions as an additional cost."
TRIG_ONEXECUTION_NAME,"Exécution","Execution"
TRIG_ONEXECUTION_DESC,"Déclenché quand ce serviteur tue un ennemi en attaquant.","Triggers when this minion kills an enemy by attacking."
TRIG_ONCARNAGE_NAME,"Carnage","Carnage"
TRIG_ONCARNAGE_DESC,"Déclenché quand un serviteur ennemi meurt.","Triggers when an enemy minion dies."
TRIG_ONATTACK_NAME,"Attaque","Attack"
TRIG_ONATTACK_DESC,"Déclenché quand ce serviteur attaque.","Triggers when this minion attacks."
